t_ms,state,emg_raw_mV,emg_clean_ecg_mV,emg_ecg_artifact_mV,emg_env_rms,emg_mdf_hz,emg_mnf_hz,emg_pkt_rms_v,emg_snr,fatigue_score,fatigue_conf
23200,,0.00497825589379719,0.00497825589379719,0.0,0.007671973540755276,,,0.06839093614099336,143.0,,
23201,,0.0087167162584878,0.0087167162584878,0.0,0.007692798759625934,,,,,,
23202,,0.003147173266193626,0.003147173266193626,0.0,0.007687707617274057,,,,,,
23203,,-0.0015068284122987663,-0.0015068284122987663,0.0,0.0076599440385261165,,,,,,
23204,,-0.002040894178683139,-0.002040894178683139,0.0,0.007623746624108981,,,,,,
23205,,0.00017166399633783413,0.00017166399633783413,0.0,0.007602436819369594,,,,,,
23206,,0.0027656977187762166,0.0027656977187762166,0.0,0.0075805237744893195,,,,,,
23207,,0.003528648813611035,0.003528648813611035,0.0,0.007578233973363765,,,,,,
23208,,-0.0006675822079804661,-0.0006675822079804661,0.0,0.007578315793706671,,,,,,
23209,,-0.0006675822079804661,-0.0006675822079804661,0.0,0.007562959002634992,,,,,,
23210,,-0.0031853208209353667,-0.0031853208209353667,0.0,0.007548368144863109,,,,,,
23211,,0.0010109102006561344,0.0010109102006561344,0.0,0.00753839105101568,,,,,,
23212,,0.005207141222247635,0.005207141222247635,0.0,0.007519853727146307,,,,,,
23213,,0.0037575341420614805,0.0037575341420614805,0.0,0.0075223951300712,,,,,,
23214,,0.004062714579995408,0.004062714579995408,0.0,0.00751886250705746,,,,,,
23215,,0.002613107499809253,0.002613107499809253,0.0,0.007504244086944435,,,,,,
23216,,-0.002040894178683139,-0.002040894178683139,0.0,0.007493187462319175,,,,,,
23217,,-0.005321583886472858,-0.005321583886472858,0.0,0.007495272795732533,,,,,,
23218,,-0.005321583886472858,-0.005321583886472858,0.0,0.007496732183981351,,,,,,
23219,,-0.004863813229571967,-0.004863813229571967,0.0,0.00747492402047869,,,,,,
23220,,0.0028419928282596985,0.0028419928282596985,0.0,0.007473166593873467,,,,,,
23221,,0.005283436331731117,0.005283436331731117,0.0,0.007479412217814576,,,,,,
23222,,0.0056649118791485265,0.0056649118791485265,0.0,0.0074872879759328515,,,,,,
23223,,0.002536812390325771,0.002536812390325771,0.0,0.007475381086854408,,,,,,
23224,,-0.0019645990691996573,-0.0019645990691996573,0.0,0.007461453405767632,,,,,,
23225,,-0.0007438773174639479,-0.0007438773174639479,0.0,0.00743622595333282,,,,,,
23226,,0.002536812390325771,0.002536812390325771,0.0,0.007422979183005367,,,,,,
23227,,0.0018501564049744346,0.0018501564049744346,0.0,0.007411290829099703,,,,,,
23228,,0.0022316319523918438,0.0022316319523918438,0.0,0.007406133463939768,,,,,,
23229,,0.0004768444342717615,0.0004768444342717615,0.0,0.007399143641633806,,,,,,
23230,,-0.0018883039597161755,-0.0018883039597161755,0.0,0.007399143641633806,,,,,,
