t_ms,state,emg_raw_mV,emg_clean_ecg_mV,emg_ecg_artifact_mV,emg_env_rms,emg_mdf_hz,emg_mnf_hz,emg_pkt_rms_v,emg_snr,fatigue_score,fatigue_conf
0,,0.019359884031433516,0.019359884031433516,0.0,,,,0.06037994964522775,86.0,,
1,,-0.0014305333028152845,-0.0014305333028152845,0.0,,,,,,,
2,,-0.021648737315938155,-0.021648737315938155,0.0,,,,,,,
3,,0.014476997024490679,0.014476997024490679,0.0,,,,,,,
4,,0.010967421988250514,0.010967421988250514,0.0,,,,,,,
5,,0.035496299687189925,0.035496299687189925,0.0,,,,,,,
6,,0.027943083848325223,0.027943083848325223,0.0,,,,,,,
7,,0.04327840085450544,0.04327840085450544,0.0,,,,,,,
8,,0.05750743877317481,0.05750743877317481,0.0,,,,,,,
9,,0.022335393301289308,0.022335393301289308,0.0,,,,,,,
10,,-0.015888456549935093,-0.015888456549935093,0.0,,,,,,,
11,,-0.06563286793316561,-0.06563286793316561,0.0,,,,,,,
12,,-0.051747158007171744,-0.051747158007171744,0.0,,,,,,,
13,,-0.007801174944686019,-0.007801174944686019,0.0,,,,,,,
14,,-0.003147173266193626,-0.003147173266193626,0.0,,,,,,,
15,,-0.0490005340657664,-0.0490005340657664,0.0,,,,,,,
16,,-0.09245059891660949,-0.09245059891660949,0.0,,,,,,,
17,,0.08787289234760057,0.08787289234760057,0.0,,,,,,,
18,,0.11900129701686135,0.11900129701686135,0.0,,,,,,,
19,,0.07784008545052272,0.07784008545052272,0.0,,,,,,,
20,,0.049420157167925735,0.049420157167925735,0.0,,,,,,,
21,,0.06540398260471518,0.06540398260471518,0.0,,,,,,,
22,,0.050221255817502294,0.050221255817502294,0.0,,,,,,,
23,,0.026340886549172104,0.026340886549172104,0.0,,,,,,,
24,,-0.0056267643244067855,-0.0056267643244067855,0.0,,,,,,,
25,,-0.05079346913862822,-0.05079346913862822,0.0,,,,,,,
26,,-0.07970931563286802,-0.07970931563286802,0.0,,,,,,,
27,,-0.05067902647440299,-0.05067902647440299,0.0,,,,,,,
28,,-0.04354543373769744,-0.04354543373769744,0.0,,,,,,,
29,,0.04438467994201593,0.04438467994201593,0.0,,,,,,,
30,,0.03526741435873948,0.03526741435873948,0.0,,,,,,,
31,,0.03496223392080555,0.03496223392080555,0.0,,,,,,,
32,,0.044003204394598525,0.044003204394598525,0.0,,,,,,,
33,,0.07406347753109037,0.07406347753109037,0.0,,,,,,,
34,,-0.03366521705958655,-0.03366521705958655,0.0,,,,,,,
35,,-0.008030060273136463,-0.008030060273136463,0.0,,,,,,,
36,,-0.07902265964751667,-0.07902265964751667,0.0,,,,,,,
37,,-0.07406347753109037,-0.07406347753109037,0.0,,,,,,,
38,,-0.07295719844357987,-0.07295719844357987,0.0,,,,,,,
